model,year,target,transmission,mileage,fuelType,tax,mpg,engineSize
 A3,2016,14295,Automatic,63180,Diesel,125,57.6,2.0
 Q3,2015,17998,Semi-Auto,30837,Diesel,160,50.4,2.0
 A3,2016,15444,Manual,29500,Petrol,30,57.6,1.4
 A1,2019,19990,Automatic,11200,Petrol,145,47.1,1.0
 Q3,2017,24290,Semi-Auto,15836,Petrol,145,40.4,2.0
 A4,2019,34985,Automatic,10,Diesel,145,53.3,2.0
 A3,2016,16495,Semi-Auto,46600,Diesel,125,57.6,2.0
 A6,2014,13498,Manual,69410,Diesel,125,57.6,2.0
 A3,2019,24990,Manual,6000,Petrol,145,43.5,1.5
 A1,2012,7099,Manual,46942,Diesel,0,74.3,1.6
 A3,2017,18998,Manual,14264,Petrol,145,54.3,1.5
 A8,2019,44950,Automatic,8076,Petrol,145,28.8,3.0
 A3,2017,16650,Semi-Auto,14712,Petrol,30,57.6,1.4
 Q3,2017,16600,Manual,28105,Diesel,30,62.8,2.0
 A1,2020,24500,Semi-Auto,4000,Petrol,145,44.8,1.5
 Q5,2013,19995,Semi-Auto,54143,Diesel,265,41.5,3.0
 Q5,2019,32970,Automatic,5515,Diesel,145,38.2,2.0
 A3,2020,27490,Automatic,1350,Diesel,145,51.4,2.0
 Q5,2019,35990,Semi-Auto,8186,Petrol,145,32.1,2.0
 Q3,2019,33990,Semi-Auto,4054,Diesel,145,47.1,2.0
 Q3,2015,17800,Manual,20106,Diesel,150,52.3,2.0
 A1,2017,16704,Automatic,16855,Petrol,145,70.6,1.4
 A3,2019,24500,Automatic,5000,Petrol,145,40.4,2.0
 A1,2017,13990,Manual,15038,Petrol,145,55.4,1.4
 A5,2008,6995,Semi-Auto,75700,Diesel,235,42.2,2.7
 Q2,2019,18380,Manual,12140,Diesel,145,47.9,1.6
 A4,2019,34000,Automatic,2500,Petrol,145,35.8,2.0
 A3,2019,22195,Automatic,6395,Petrol,145,41.5,1.5
 A3,2019,30500,Semi-Auto,4723,Petrol,145,34.9,2.0
 TT,2017,22490,Automatic,21755,Petrol,205,42.8,2.0
 Q3,2018,21500,Manual,20000,Petrol,150,49.6,1.4
 Q3,2018,19485,Manual,7157,Petrol,145,51.4,1.4
 Q5,2020,49495,Semi-Auto,4000,Hybrid,135,117.7,2.0
 A4,2019,22480,Manual,2525,Petrol,145,39.2,2.0
 A4,2014,10100,Manual,77701,Diesel,125,57.6,2.0
 Q5,2015,26276,Automatic,46085,Diesel,235,42.2,3.0
 A6,2019,29200,Automatic,9328,Diesel,145,50.4,2.0
 A3,2014,13450,Semi-Auto,32126,Petrol,20,60.1,1.4
 Q2,2018,18990,Semi-Auto,35100,Petrol,145,54.3,1.4
 TT,2015,17490,Automatic,25000,Petrol,200,42.8,2.0
 Q2,2018,20290,Manual,18323,Petrol,150,50.4,1.4
 Q3,2019,32888,Semi-Auto,6022,Petrol,145,32.1,2.0
 A1,2017,11225,Manual,29372,Petrol,0,67.3,1.0
 Q3,2016,18495,Manual,27838,Petrol,145,49.6,1.4
 Q2,2018,21745,Semi-Auto,21177,Petrol,145,52.3,1.4
 A4,2017,12898,Manual,72816,Diesel,0,74.3,2.0
 A4,2020,34500,Semi-Auto,1000,Diesel,145,45.6,2.0
 A3,2017,22490,Semi-Auto,40054,Petrol,145,44.1,2.0
 A3,2010,4990,Manual,94000,Petrol,200,40.9,1.6
 A3,2015,8689,Manual,86108,Diesel,20,68.9,2.0
 Q3,2016,19495,Semi-Auto,25204,Diesel,145,51.4,2.0
 A3,2019,17500,Automatic,10000,Diesel,145,54.3,1.6
 A3,2016,8300,Manual,88215,Diesel,20,68.9,2.0
 A6,2014,14798,Semi-Auto,40700,Diesel,30,64.2,2.0
 Q5,2020,38888,Semi-Auto,1986,Diesel,145,38.2,2.0
 A6,2014,16298,Semi-Auto,75125,Diesel,235,44.8,3.0
 Q3,2014,15698,Manual,26728,Diesel,160,50.4,2.0
 A4,2019,28950,Automatic,6888,Petrol,150,38.7,2.0
 A6,2017,19790,Semi-Auto,43442,Diesel,145,61.4,2.0
 A4,2018,24990,Semi-Auto,16669,Diesel,145,61.4,2.0
 A3,2016,21490,Semi-Auto,44601,Petrol,200,40.9,2.0
 A1,2018,15300,Manual,13741,Petrol,145,67.3,1.0
 A3,2017,15490,Automatic,8000,Petrol,20,60.1,1.0
 A3,2017,14451,Manual,29891,Petrol,20,61.4,1.4
 A4,2019,25500,Automatic,500,Diesel,145,49.6,2.0
 Q2,2019,18950,Manual,5000,Diesel,145,49.6,1.6
 Q5,2019,35990,Semi-Auto,9805,Diesel,145,38.2,2.0
 A1,2016,12790,Manual,15352,Diesel,0,76.3,1.6
 A5,2014,11795,Manual,60670,Diesel,145,55.4,2.0
 Q3,2019,35888,Semi-Auto,1856,Diesel,145,45.6,2.0
 Q3,2020,29970,Manual,1015,Petrol,150,40.9,1.5
 A6,2010,6890,Manual,89000,Diesel,150,48.7,2.0
 Q5,2014,17800,Automatic,41478,Diesel,200,47.1,2.0
 A4,2020,45990,Semi-Auto,7800,Diesel,145,39.2,3.0
 A3,2018,20888,Manual,6940,Petrol,145,54.3,1.5
 Q3,2020,29488,Manual,1500,Petrol,145,40.9,0.0
 A3,2018,15000,Manual,22383,Petrol,150,60.1,1.0
 A5,2019,29500,Automatic,100,Petrol,145,40.4,2.0
 A3,2019,17400,Manual,4050,Diesel,145,49.6,1.6
 A1,2017,12495,Manual,26500,Petrol,145,55.4,1.4
 Q3,2019,29000,Automatic,14061,Petrol,145,31.7,2.0
 A1,2017,12990,Manual,24435,Petrol,145,55.4,1.4
 Q2,2019,24365,Manual,3578,Diesel,145,47.9,1.6
 A6,2020,52500,Semi-Auto,2000,Diesel,145,50.4,2.0
 Q2,2019,17295,Manual,16047,Petrol,145,47.1,1.0
 A4,2015,10475,Manual,69000,Diesel,145,55.4,2.0
 A4,2017,17999,Manual,17000,Petrol,145,51.4,1.4
 TT,2017,22400,Semi-Auto,8997,Petrol,150,43.5,2.0
 A6,2018,30990,Semi-Auto,30569,Diesel,145,50.4,3.0
 A4,2007,3495,Manual,138649,Diesel,325,33.2,2.0
 TT,2017,16995,Manual,33105,Petrol,145,47.1,1.8
 A3,2017,27490,Automatic,38300,Petrol,145,43.5,2.0
 A3,2016,13500,Manual,44457,Diesel,30,68.9,1.6
 Q3,2013,12490,Semi-Auto,64000,Diesel,200,47.9,2.0
 A4,2018,23950,Semi-Auto,19288,Diesel,145,61.4,2.0
 A4,2019,28200,Automatic,4904,Diesel,145,47.9,2.0
 A3,2013,8299,Manual,51535,Diesel,20,68.9,1.6
 Q3,2016,17032,Semi-Auto,22351,Petrol,145,47.9,1.4
 A4,2017,18100,Manual,17278,Petrol,145,48.7,1.4
 Q3,2019,26888,Manual,1500,Diesel,145,42.8,2.0
 A3,2017,14975,Manual,34900,Petrol,30,58.9,1.4
 A1,2014,9495,Automatic,52000,Petrol,30,54.3,1.4
 A3,2009,5295,Manual,63899,Petrol,200,40.9,1.6
 A6,2015,12794,Manual,109000,Diesel,30,64.2,2.0
 A4,2016,20699,Semi-Auto,49800,Diesel,145,53.3,3.0
 A5,2019,29950,Semi-Auto,2888,Petrol,145,39.8,2.0
 A3,2016,13005,Semi-Auto,48782,Diesel,20,68.9,1.6
 A5,2020,39454,Semi-Auto,7925,Diesel,145,45.6,2.0
 Q3,2019,29290,Manual,5000,Diesel,145,40.9,2.0
 Q2,2019,28750,Semi-Auto,4502,Diesel,145,44.8,2.0
 Q3,2016,19700,Semi-Auto,27969,Diesel,160,50.4,2.0
 TT,2016,16995,Manual,34000,Petrol,160,46.3,2.0
 Q3,2017,19999,Automatic,15003,Petrol,145,47.9,1.4
 Q3,2012,10995,Semi-Auto,61000,Diesel,205,47.9,2.0
 A4,2020,35000,Semi-Auto,3000,Petrol,145,39.2,2.0
 A4,2019,23500,Manual,5500,Petrol,145,40.4,2.0
 Q3,2013,12695,Semi-Auto,40000,Diesel,200,47.9,2.0
 A5,2015,13500,Manual,18560,Diesel,20,67.3,2.0
 A4,2014,9899,Manual,56180,Diesel,30,61.4,2.0
 Q5,2016,16690,Manual,68501,Diesel,200,47.9,2.0
 Q2,2017,14800,Automatic,23714,Diesel,145,68.9,1.6
 A3,2017,16990,Manual,26254,Petrol,30,60.1,1.4
 Q7,2019,44990,Automatic,8000,Diesel,145,33.2,3.0
 A5,2016,23998,Semi-Auto,14991,Diesel,160,50.4,2.0
 A3,2010,6475,Manual,50000,Petrol,145,48.7,1.4
 Q3,2016,16499,Manual,28646,Diesel,145,51.4,2.0
 A4,2017,16990,Manual,20000,Diesel,150,67.3,2.0
 A3,2014,17450,Semi-Auto,51541,Petrol,200,40.9,2.0
 A1,2015,10490,Manual,42347,Diesel,0,74.3,1.6
 A4,2017,16745,Manual,36008,Diesel,150,67.3,2.0
 A3,2017,13990,Manual,11800,Diesel,145,70.6,2.0
 Q3,2014,17998,Semi-Auto,23340,Petrol,260,36.7,2.0
 A5,2019,29990,Automatic,2000,Diesel,145,50.4,2.0
 A6,2019,27990,Automatic,7400,Diesel,145,50.4,2.0
 A4,2016,16000,Manual,38155,Diesel,20,68.9,2.0
 Q2,2018,18998,Manual,8211,Diesel,150,49.6,1.6
 A1,2015,12498,Manual,25549,Petrol,30,58.9,1.4
 Q3,2016,18500,Automatic,19126,Petrol,145,47.9,1.4
 Q5,2019,34000,Automatic,1000,Diesel,145,38.2,2.0
 RS6,2017,51950,Automatic,19980,Petrol,145,29.4,4.0
 A4,2017,16599,Automatic,36715,Diesel,145,70.6,2.0
 A3,2019,17500,Manual,4500,Diesel,145,49.6,1.6
 A6,2018,22995,Semi-Auto,15866,Diesel,145,61.4,2.0
 Q5,2019,32500,Automatic,2833,Diesel,145,38.2,2.0
 A1,2016,13750,Semi-Auto,18018,Petrol,30,57.6,1.4
 A6,2015,13498,Semi-Auto,51405,Diesel,20,67.3,2.0
 A6,2016,15600,Automatic,49462,Diesel,30,61.4,2.0
 A4,2018,16000,Manual,23541,Petrol,145,51.4,1.4
 A4,2017,15990,Manual,36700,Diesel,145,72.4,2.0
 Q5,2019,36985,Automatic,5135,Diesel,145,38.2,2.0
 A4,2014,9495,Manual,105100,Diesel,30,62.8,2.0
 A3,2016,9712,Manual,60901,Diesel,20,68.9,2.0
 A5,2019,31295,Automatic,4000,Petrol,145,37.7,2.0
 Q2,2017,18327,Semi-Auto,31000,Petrol,145,54.3,1.4
 Q5,2019,30350,Semi-Auto,4750,Diesel,145,39.2,2.0
 A5,2020,29945,Semi-Auto,5000,Diesel,145,47.1,2.0
 A1,2016,10500,Manual,18272,Petrol,0,67.3,1.0
 A6,2014,10100,Semi-Auto,64460,Diesel,30,64.2,2.0
 Q3,2017,25500,Automatic,21090,Petrol,145,40.4,2.0
 A5,2015,13450,Manual,54000,Diesel,145,55.4,2.0
 Q3,2012,12440,Automatic,45000,Diesel,200,47.9,2.0
 A8,2016,33000,Automatic,33063,Petrol,330,30.1,4.0
 Q3,2017,18696,Manual,23008,Diesel,145,56.5,2.0
 Q5,2017,32995,Semi-Auto,32821,Diesel,235,42.2,3.0
 S5,2014,18950,Semi-Auto,32000,Petrol,260,36.7,3.0
 Q5,2019,33990,Semi-Auto,4327,Diesel,145,38.2,2.0
 Q2,2019,28495,Automatic,3381,Petrol,145,40.9,1.5
 A5,2019,26450,Semi-Auto,4750,Petrol,145,39.8,2.0
 Q3,2015,17650,Manual,38122,Diesel,145,52.3,2.0
 TT,2009,5995,Manual,77000,Petrol,300,36.2,2.0
 Q3,2019,32750,Semi-Auto,3669,Petrol,145,32.1,2.0
 RS4,2020,67000,Semi-Auto,3000,Petrol,145,29.1,2.9
 Q5,2019,30490,Semi-Auto,6500,Diesel,145,38.2,2.0
 A4,2016,16990,Manual,28500,Diesel,30,64.2,2.0
 A1,2015,11298,Manual,43512,Petrol,30,56.5,1.4
 A3,2016,14498,Manual,30895,Petrol,125,52.3,1.4
 A3,2016,14998,Manual,1893,Petrol,20,60.1,1.4
 A1,2019,22490,Semi-Auto,1501,Petrol,145,44.8,1.5
 SQ5,2015,19950,Automatic,79000,Diesel,235,42.8,3.0
 A4,2017,22950,Automatic,30195,Diesel,145,54.3,3.0
 A6,2018,24850,Semi-Auto,15552,Diesel,145,56.5,2.0
 Q8,2019,67495,Automatic,7961,Diesel,145,32.8,3.0
 Q2,2019,20450,Manual,6750,Petrol,150,42.8,1.5
 A1,2016,14999,Automatic,18251,Petrol,30,70.6,1.4
 A1,2016,13450,Manual,22652,Diesel,0,72.4,1.6
 A3,2014,11679,Manual,75269,Diesel,20,68.9,2.0
 Q5,2019,32895,Automatic,10,Diesel,145,39.2,2.0
 Q3,2019,32082,Manual,6000,Petrol,145,40.9,1.5
 A1,2015,12000,Manual,35441,Diesel,0,80.7,1.6
 A4,2018,18350,Manual,8940,Petrol,145,52.3,1.4
 Q3,2019,25490,Manual,11130,Diesel,145,42.8,2.0
 A1,2015,12500,Manual,30500,Diesel,0,80.7,1.6
 Q2,2019,20974,Manual,4040,Diesel,145,49.6,1.6
 Q8,2019,50990,Semi-Auto,5608,Diesel,150,33.6,3.0
 A4,2016,14900,Semi-Auto,50900,Diesel,20,67.3,2.0
 Q3,2019,35866,Automatic,6698,Petrol,145,30.7,2.0
 A1,2019,19998,Manual,2117,Petrol,145,50.4,1.0
 Q5,2019,34026,Semi-Auto,6756,Diesel,145,38.2,2.0
 A6,2016,18243,Semi-Auto,46331,Diesel,150,55.4,2.0
 A3,2019,29490,Semi-Auto,355,Petrol,150,34.9,2.0
 A1,2016,12950,Manual,23100,Petrol,30,55.4,1.4
 A5,2019,26995,Semi-Auto,8150,Petrol,145,39.8,2.0
 A3,2019,23377,Manual,4963,Petrol,145,42.8,1.5
 A5,2013,11998,Manual,59773,Diesel,30,60.1,2.0
 A1,2017,12891,Manual,28512,Petrol,30,55.4,1.4
 A1,2017,13500,Manual,13000,Petrol,150,67.3,1.0
 Q2,2017,16495,Manual,18045,Petrol,145,55.4,1.0
 Q5,2016,22995,Semi-Auto,19273,Diesel,200,47.1,2.0
 A3,2017,14000,Manual,34668,Diesel,150,68.9,1.6
 A3,2013,9312,Manual,63986,Diesel,0,74.3,1.6
 Q2,2017,17481,Semi-Auto,23496,Petrol,145,54.3,1.4
 Q3,2019,27950,Automatic,9859,Diesel,145,47.1,2.0
 A4,2016,12750,Manual,52561,Diesel,0,74.3,2.0
 A4,2019,30000,Automatic,3714,Diesel,145,45.6,2.0
 Q2,2017,21995,Semi-Auto,9706,Petrol,145,52.3,1.4
 A3,2014,10895,Semi-Auto,33000,Diesel,20,72.4,1.6
 Q5,2019,34000,Automatic,5027,Diesel,145,38.2,2.0
 A7,2015,17888,Semi-Auto,42687,Diesel,150,54.3,3.0
 A1,2020,22000,Semi-Auto,2999,Petrol,145,44.8,1.0
 A5,2017,21465,Semi-Auto,15900,Diesel,145,67.3,2.0
 A3,2019,21000,Manual,17125,Petrol,145,47.1,1.0
 Q5,2019,31998,Semi-Auto,100,Petrol,145,33.2,2.0
 Q2,2019,22495,Manual,6500,Diesel,145,47.9,1.6
 A3,2016,11790,Manual,29813,Diesel,0,74.3,1.6
 A5,2018,26490,Semi-Auto,4600,Petrol,145,50.4,2.0
 A3,2019,29900,Semi-Auto,4641,Petrol,145,34.9,2.0
 A3,2019,21000,Manual,5000,Diesel,145,51.4,1.6
 A5,2016,18995,Manual,34728,Diesel,125,57.6,2.0
 Q8,2018,51495,Automatic,7000,Diesel,145,33.6,3.0
 A1,2019,23950,Semi-Auto,5000,Petrol,145,44.1,1.0
 A3,2019,20000,Automatic,11486,Diesel,145,54.3,1.6
 Q5,2017,36990,Semi-Auto,20354,Petrol,145,34.0,3.0
 Q3,2019,34750,Semi-Auto,4536,Petrol,145,32.1,2.0
 Q2,2019,23496,Manual,2891,Petrol,145,43.5,1.0
 Q2,2019,22990,Semi-Auto,18413,Petrol,145,40.9,1.5
 A1,2016,12950,Manual,15734,Petrol,0,67.3,1.0
 A5,2017,25000,Automatic,19000,Petrol,145,45.6,2.0
 A4,2017,25000,Semi-Auto,26846,Diesel,150,56.5,2.0
 A4,2016,18950,Automatic,15135,Diesel,20,67.3,2.0
 A5,2019,26295,Semi-Auto,6500,Petrol,145,40.4,2.0
 A3,2017,14550,Manual,17372,Diesel,20,70.6,1.6
 A5,2020,29888,Automatic,1500,Diesel,145,51.4,2.0
 A3,2019,30470,Semi-Auto,7987,Petrol,150,34.9,2.0
 A3,2016,14200,Manual,25726,Petrol,20,60.1,1.4
 A3,2016,11695,Manual,88140,Diesel,20,67.3,2.0
 Q2,2018,18351,Manual,10581,Petrol,145,52.3,1.4
 A5,2016,16498,Semi-Auto,49429,Diesel,20,70.6,2.0
 A3,2017,15495,Manual,49245,Diesel,20,65.7,2.0
 A3,2016,19771,Semi-Auto,17157,Petrol,125,48.7,2.0
 A6,2019,26490,Automatic,40000,Diesel,145,54.3,3.0
 A5,2018,21250,Manual,27427,Diesel,145,67.3,2.0
 Q3,2020,36900,Semi-Auto,2183,Petrol,145,39.8,1.5
 Q3,2016,15790,Manual,30865,Diesel,30,60.1,2.0
 Q5,2017,39990,Semi-Auto,24550,Petrol,145,34.0,3.0
 Q2,2017,18930,Automatic,14257,Petrol,145,54.3,1.4
 A3,2017,15495,Manual,49471,Diesel,145,65.7,2.0
 Q3,2017,15749,Manual,41767,Petrol,145,51.4,1.4
 Q2,2019,33990,Automatic,4826,Petrol,145,33.2,2.0
 A3,2015,13800,Semi-Auto,61808,Diesel,125,57.6,2.0
 A4,2016,14444,Automatic,28325,Diesel,0,72.4,2.0
 Q3,2016,17250,Automatic,42624,Diesel,145,51.4,2.0
 A3,2019,20890,Semi-Auto,12930,Petrol,145,42.2,1.5
 Q3,2015,15997,Automatic,13862,Diesel,145,53.3,2.0
